Physical Design Stage, Core Area (um^2), Standard Cell Area (um^2), Macro Area (um^2), Total Power (mW), Wirelength(um), WS(ns), TNS(ns), Congestion(H), Congestion(V)
preCTS,16654723.2,1189178.016,7291322.9568,875.81007243,8710676.93298,-0.292,-363.329,0.02%,0.01%
postCTS,16654723.2,1231025.6512,7291322.9568,944.90255386,8744009.48298,-0.181,-99.309,0.02%,0.01%
postRoute,16654723.2,1231025.6512,7291322.9568,951.73854496,8959640.94997,0.111,0.000,,
