Physical Design Stage, Core Area (um^2), Standard Cell Area (um^2), Macro Area (um^2), Total Power (mW), Wirelength(um), WS(ns), TNS(ns), Congestion(H), Congestion(V)
preCTS,16654723.2,1194319.1968,7291322.9568,874.19169168,8611445.37498,-0.229,-244.934,0.01%,0.01%
postCTS,16654723.2,1225235.0976,7291322.9568,942.06029613,8627524.53198,-0.091,-22.313,0.01%,0.01%
postRoute,16654723.2,1225235.0976,7291322.9568,948.62977664,8861308.97496,0.541,0.000,,
