Physical Design Stage, Core Area (um^2), Standard Cell Area (um^2), Macro Area (um^2), Total Power (mW), Wirelength(um), WS(ns), TNS(ns), Congestion(H), Congestion(V)
preCTS,45619217.4464,1744231.6064,20750141.0304,1849.74032724,18569558.0371,-0.009,-0.017,0.01%,0.21%
postCTS,45619217.4464,1781506.1056,20750141.0304,1957.40155413,18609488.1811,0.000,0.000,0.01%,0.25%
postRoute,45619217.4464,1781506.1056,20750141.0304,1967.99827737,19723347.4952,0.103,0.000,,
