Physical Design Stage, Core Area (um^2), Standard Cell Area (um^2), Macro Area (um^2), Total Power (mW), Wirelength(um), WS(ns), TNS(ns), Congestion(H), Congestion(V)
preCTS,45619217.4464,1743188.1056,20750141.0304,1849.49951078,18472179.3741,-0.005,-0.005,0.01%,0.23%
postCTS,45619217.4464,1779942.1056,20750141.0304,1957.50349965,18526250.0451,-0.000,-0.000,0.01%,0.27%
postRoute,45619217.4464,1779942.1056,20750141.0304,1967.56964849,19632402.9702,0.243,0.000,,
