Physical Design Stage, Core Area (um^2), Standard Cell Area (um^2), Macro Area (um^2), Total Power (mW), Wirelength(um), WS(ns), TNS(ns), Congestion(H), Congestion(V)
preCTS,5443285.148,398495.398001,2325682.688,2299.63098715,8367478.37248,-0.004,-0.054,0.00%,0.22%
postCTS,5443285.148,400072.512001,2325682.688,2379.80636434,8402350.48648,-0.001,-0.001,0.00%,0.23%
postRoute,5443285.148,400072.512001,2325682.688,2360.43205487,8660699.94999,0.273,0.000,,
